state,date,precip,max_temp,min_temp,wind_speed
wyoming,2014,2.62,11.56,2.88,12.87
wyoming,2015,2.42,13.43,4.65,15.46
wyoming,2016,2.81,14.05,5.98,14.57
wyoming,2017,3.26,13.76,5.75,13.92
wyoming,2018,2.97,13.11,5.42,12.76
wyoming,2019,3.58,12.38,4.65,14.28
wyoming,2020,2.74,13.4,5.73,14.23
wyoming,2021,2.91,14.19,6.23,13.53
wyoming,2022,2.54,13.78,4.59,14.84
wyoming,2023,2.92,3.52,-3.16,16.02
